,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,1917.0,8017.0,8517.0,3917.0,8717.0,9917.0,,,8617.0,6017.0,,9317.0,8817.0,6817.0,9217.0,,6717.0,7617.0,6017.0,,8917.0,5417.0,,8817.0,8517.0,9617.0,9817.0,6917.0,7417.0,7617.0,3917.0,4817.0,9217.0,,5717.0,2817.0,9917.0,9217.0,7817.0,4017.0,1717.0,6417.0,9617.0,5717.0,,9917.0,7817.0,,8617.0,5317.0,9817.0,7217.0,86.05853628321907,86.39818288544859,5417.0,8917.0,5417.0,8517.0,,,1717.0,,,9317.0,9717.0,7417.0,,7117.0,8717.0,,7517.0,6317.0,7217.0,,9617.0,4917.0,4217.0,5217.0,7617.0,3517.0,46.97158427876852,8617.0,,9917.0,9917.0,56.390679673667535,4317.0,6117.0,8417.0,7117.0,7817.0,,9417.0,5017.0,7717.0,7117.0,8517.0,,8117.0,6217.0,9317.0,7517.0,,4717.0,79.96151124558871,,50.96590097681572,6517.0,8117.0,,8717.0,,68.24132069266442,8017.0,,,5417.0,8517.0,8017.0,9717.0,4217.0,9017.0,3217.0,8817.0,8917.0,7617.0,81.55253325657611,,8217.0,8017.0,5517.0,6717.0,7617.0,5717.0,9417.0,,8217.0,5417.0,2817.0,5717.0,9417.0,9617.0,77.0610105859314,5117.0,8017.0,6917.0,7417.0,7417.0,8317.0,9417.0,9617.0,8417.0,9217.0,,8917.0,7717.0,9917.0,7717.0,9517.0,5417.0,8917.0,,9217.0,,,,78.52453019763044,7617.0,3017.0,8517.0,46.74421373997917,8517.0,7917.0,9917.0,9717.0,9917.0,53.94745820558752,5717.0,8417.0,8017.0,9617.0,8317.0,8417.0,,7917.0,7917.0,,6917.0,9017.0,9317.0,9417.0,7317.0,,5417.0,,8217.0,9017.0,8717.0,9617.0,,6317.0,6317.0,8817.0,,69.78238901117282,5317.0,8017.0,8717.0
1,1992,2217.0,8717.0,8617.0,3917.0,9917.0,9217.0,9317.0,,8617.0,6017.0,5217.0,9417.0,8717.0,6917.0,9017.0,9417.0,8717.0,6917.0,7017.0,,8617.0,5717.0,5217.0,8817.0,9117.0,9217.0,9217.0,6017.0,6917.0,8217.0,3317.0,3717.0,9417.0,,3217.0,2517.0,8917.0,8717.0,7417.0,5117.0,2517.0,6017.0,9217.0,5417.0,9017.0,9917.0,8017.0,,8517.0,4117.0,9917.0,7317.0,82.4751945962702,82.68860113141709,6917.0,8917.0,5517.0,8217.0,,,1217.0,81.39208820125617,,9117.0,9917.0,7617.0,,6617.0,8317.0,1617.0,7517.0,6417.0,7217.0,,7317.0,5917.0,5217.0,6017.0,7317.0,3917.0,46.537255206662216,8917.0,,9917.0,9917.0,55.68847804813362,5117.0,6517.0,9617.0,6717.0,7817.0,,9417.0,5017.0,6317.0,6917.0,9117.0,8917.0,8417.0,7717.0,9317.0,8517.0,9417.0,4617.0,82.44927807704941,9517.0,50.52411534403222,7617.0,8117.0,,8817.0,8917.0,68.56192452015232,8017.0,,,5417.0,9117.0,8217.0,9817.0,3517.0,9217.0,4317.0,8417.0,8817.0,7817.0,83.63053049884181,7317.0,8417.0,8117.0,5617.0,6817.0,7617.0,5817.0,9517.0,,8217.0,8317.0,2117.0,4317.0,9617.0,9617.0,76.8620057617813,5217.0,7617.0,7017.0,8717.0,8317.0,8117.0,9517.0,9917.0,8617.0,9117.0,8317.0,8217.0,9017.0,9917.0,5217.0,8817.0,5717.0,9217.0,,8917.0,,,9017.0,76.12143489273417,7017.0,3217.0,8517.0,52.90952821798592,8317.0,8217.0,9917.0,7517.0,9917.0,50.68533197612717,5217.0,6117.0,8517.0,9617.0,8317.0,8417.0,6817.0,8117.0,7417.0,,6417.0,8717.0,8317.0,9417.0,7817.0,7617.0,5617.0,9017.0,8517.0,9217.0,8317.0,9317.0,8417.0,6617.0,6117.0,9017.0,,69.96673917733392,4617.0,8517.0,8617.0
2,1993,2517.0,7617.0,8717.0,4717.0,9917.0,9517.0,9517.0,,8617.0,6017.0,4917.0,8817.0,9017.0,7417.0,9217.0,9617.0,7017.0,8017.0,6717.0,,8417.0,5717.0,4817.0,8817.0,8517.0,9917.0,8817.0,5017.0,6917.0,8817.0,3617.0,3217.0,9617.0,,4217.0,1917.0,9417.0,8117.0,9417.0,5617.0,3317.0,5517.0,8917.0,5217.0,9017.0,9617.0,8117.0,9817.0,8117.0,4117.0,9917.0,7517.0,78.9021898709047,78.93661044990371,8517.0,8917.0,8617.0,7917.0,3417.0,7417.0,2217.0,82.7030494419697,,9617.0,9917.0,7817.0,,6317.0,8717.0,6117.0,8917.0,6617.0,7217.0,,9917.0,7117.0,5517.0,6817.0,9217.0,4417.0,48.44313631038942,9417.0,,9917.0,9917.0,56.75969685390972,5917.0,6817.0,9617.0,6317.0,7817.0,,9217.0,5017.0,8017.0,6817.0,8817.0,9117.0,8417.0,8917.0,9217.0,9517.0,9317.0,4617.0,81.65121718611871,8017.0,53.36413778925472,8817.0,8217.0,,9117.0,9217.0,69.00834266052283,8317.0,,9817.0,5417.0,8717.0,8117.0,8617.0,5117.0,9017.0,4917.0,8417.0,7917.0,8017.0,83.7863051901003,6417.0,8417.0,8317.0,6217.0,7117.0,7117.0,5817.0,9417.0,,8517.0,8417.0,1917.0,4017.0,9317.0,9517.0,77.30826853802691,5217.0,8317.0,2817.0,9617.0,7517.0,7817.0,9517.0,9517.0,8617.0,9317.0,8817.0,7417.0,9217.0,9617.0,5717.0,9117.0,5817.0,9217.0,,8717.0,,,9017.0,78.95574234332042,6417.0,3317.0,8517.0,59.33923125902092,9017.0,8617.0,9917.0,9417.0,9917.0,51.40493997868492,4917.0,6117.0,8517.0,9717.0,8317.0,8617.0,8117.0,7717.0,8017.0,,6017.0,8717.0,8717.0,9217.0,7217.0,8417.0,5717.0,9417.0,9017.0,9117.0,8417.0,9017.0,8217.0,7417.0,6217.0,9317.0,,70.56218087319013,5117.0,9117.0,8617.0
3,1994,4017.0,9017.0,8817.0,4417.0,9117.0,9617.0,9517.0,,8617.0,6017.0,6017.0,8817.0,9317.0,7817.0,9717.0,9717.0,7817.0,8217.0,7817.0,,8117.0,6417.0,5717.0,8817.0,7717.0,9917.0,9317.0,4517.0,4217.0,8717.0,5017.0,3817.0,9717.0,,5217.0,2417.0,9617.0,7517.0,8417.0,5917.0,3917.0,4717.0,8717.0,5517.0,9017.0,9917.0,8217.0,9717.0,8817.0,4217.0,9917.0,7617.0,76.0414565324275,75.38636814567519,8317.0,8917.0,8017.0,8017.0,5117.0,7617.0,5417.0,80.9798366373217,,9617.0,9917.0,8017.0,,6017.0,8917.0,6317.0,9017.0,6817.0,7017.0,,8717.0,6617.0,5817.0,6817.0,8317.0,4817.0,54.67656341486452,9317.0,,9917.0,9817.0,59.99878233419562,6717.0,6617.0,9717.0,7217.0,7817.0,,9217.0,5017.0,8217.0,8117.0,9117.0,9117.0,8417.0,7017.0,9217.0,9817.0,8817.0,7317.0,82.2080068995847,8117.0,58.44595910254043,8817.0,8217.0,,9217.0,9317.0,70.22036964853243,8617.0,,8817.0,6317.0,8317.0,9517.0,9717.0,4617.0,7117.0,5317.0,8517.0,9017.0,8317.0,83.25568301555882,8517.0,8017.0,8717.0,6517.0,7717.0,7017.0,5817.0,9417.0,,8717.0,8417.0,1917.0,4117.0,9417.0,9717.0,78.09964553053621,5317.0,8417.0,3617.0,7617.0,7517.0,7517.0,9617.0,9117.0,8617.0,9117.0,8117.0,2517.0,9417.0,9717.0,6517.0,9317.0,5917.0,9217.0,,9517.0,,9717.0,9117.0,79.31508337768322,6017.0,3517.0,7617.0,65.95642321463193,9017.0,8417.0,9917.0,9217.0,9917.0,55.02484363361862,4817.0,7217.0,9417.0,9717.0,8317.0,8617.0,7317.0,7917.0,8617.0,,5717.0,8617.0,8617.0,9117.0,7617.0,9017.0,5917.0,9617.0,9017.0,9117.0,8917.0,9017.0,7117.0,5317.0,9417.0,9617.0,,72.01849428214963,3117.0,9617.0,8717.0
4,1995,4117.0,9117.0,8917.0,4617.0,9317.0,9917.0,9617.0,,8717.0,6017.0,6417.0,9017.0,9517.0,7917.0,9217.0,9317.0,8517.0,8317.0,6517.0,,8517.0,5817.0,5317.0,8917.0,8717.0,9917.0,9417.0,4317.0,8017.0,8517.0,6217.0,4617.0,9617.0,,4617.0,2617.0,9717.0,8017.0,9517.0,6917.0,2717.0,3817.0,9117.0,5717.0,9217.0,9917.0,8317.0,9617.0,8817.0,4117.0,9917.0,7817.0,79.03285339596611,78.0668021285577,8117.0,8917.0,9317.0,8117.0,5817.0,8117.0,3817.0,82.23530930309771,,9417.0,9817.0,8317.0,,5717.0,9117.0,6117.0,9217.0,7017.0,7017.0,,8817.0,8317.0,6117.0,4517.0,7717.0,4917.0,53.26058847632782,8917.0,,9917.0,9917.0,59.67304641277322,7217.0,6317.0,9517.0,8017.0,7717.0,,9317.0,5017.0,9017.0,9317.0,9217.0,9517.0,8317.0,4717.0,9317.0,9817.0,9717.0,6817.0,85.87340319697981,8117.0,57.97765983576317,8517.0,8317.0,,9217.0,9417.0,72.14637770116363,8817.0,,9717.0,5517.0,9017.0,9717.0,9617.0,5217.0,5117.0,6717.0,8917.0,9017.0,9017.0,84.32035515696417,9117.0,8517.0,8817.0,7117.0,8217.0,6817.0,5617.0,9417.0,,8417.0,8517.0,4017.0,4417.0,9217.0,9817.0,76.7456686570859,4717.0,8417.0,4217.0,7517.0,9817.0,7217.0,9617.0,9417.0,8717.0,9317.0,8517.0,8417.0,9617.0,9717.0,7417.0,9417.0,8017.0,9717.0,,9717.0,,9917.0,9317.0,79.15813265244341,6817.0,3417.0,7617.0,69.02551323898817,9017.0,8717.0,9917.0,9417.0,9917.0,54.56042839695093,5117.0,8517.0,9417.0,9717.0,8317.0,8517.0,7017.0,7817.0,9117.0,,5317.0,9417.0,8417.0,9117.0,6517.0,9217.0,5717.0,9717.0,9017.0,9217.0,8817.0,9017.0,9117.0,6017.0,4717.0,9517.0,,73.89693457902463,4017.0,8617.0,8717.0
5,1996,4217.0,9217.0,9017.0,6217.0,9917.0,9917.0,8917.0,,8717.0,8717.0,6517.0,9217.0,9517.0,6917.0,9917.0,9617.0,7317.0,8117.0,6017.0,,8517.0,6117.0,7017.0,8917.0,8017.0,9917.0,9517.0,4017.0,7917.0,8417.0,5617.0,3917.0,9717.0,,4417.0,2217.0,9317.0,8417.0,9017.0,4317.0,2117.0,4217.0,8417.0,6517.0,9217.0,9917.0,9017.0,9717.0,8517.0,4117.0,9917.0,7917.0,83.4176381140203,82.7184355348169,7917.0,9217.0,9417.0,8117.0,6617.0,8617.0,5417.0,85.06745829325617,,9417.0,9817.0,8417.0,,5717.0,9417.0,6517.0,9117.0,7117.0,9017.0,,8517.0,6917.0,6117.0,4917.0,9117.0,5017.0,54.09850374515782,9117.0,,9917.0,9917.0,58.91555915740917,6617.0,7917.0,9917.0,8217.0,7717.0,,9617.0,5517.0,9617.0,9417.0,9417.0,9717.0,8117.0,6417.0,8917.0,9917.0,9817.0,7317.0,83.94036829658509,9617.0,57.72912917820322,8517.0,8217.0,,9317.0,9617.0,71.42018379488344,9117.0,,9117.0,4617.0,9017.0,9717.0,9517.0,5717.0,5117.0,6617.0,6117.0,9317.0,8217.0,86.70623416980291,9017.0,8917.0,9317.0,5817.0,8617.0,6117.0,6517.0,9617.0,,9217.0,8517.0,3817.0,3817.0,9217.0,9817.0,73.63676421750081,5017.0,9017.0,2417.0,8117.0,8717.0,7617.0,9717.0,9917.0,9017.0,9417.0,8817.0,7617.0,9617.0,9817.0,5717.0,9217.0,7017.0,9817.0,,9717.0,,9917.0,9317.0,78.42891372158181,9017.0,3317.0,7617.0,64.19420672806193,9017.0,8917.0,9917.0,9517.0,9917.0,54.164353045551174,5917.0,8717.0,8217.0,9617.0,8317.0,8517.0,7917.0,7817.0,9217.0,,4817.0,9517.0,8817.0,9217.0,7217.0,9817.0,5517.0,9217.0,9017.0,9217.0,9117.0,8917.0,9517.0,6117.0,6417.0,9617.0,,73.4464345544159,4317.0,8617.0,8817.0
6,1997,3817.0,9517.0,9217.0,7817.0,9317.0,9317.0,9217.0,,8517.0,9017.0,6617.0,9317.0,9417.0,7217.0,9217.0,9717.0,7617.0,8517.0,6617.0,,8417.0,5117.0,8617.0,8917.0,9917.0,9817.0,9317.0,4117.0,7717.0,8317.0,5017.0,4317.0,9617.0,,4217.0,3017.0,9617.0,8317.0,8017.0,4917.0,2017.0,1817.0,9917.0,6817.0,9117.0,9617.0,9017.0,9617.0,8417.0,3117.0,9917.0,7917.0,82.58326923722818,81.96361008040282,7717.0,9217.0,9817.0,8217.0,7317.0,8817.0,5117.0,88.90982539074652,,7517.0,9617.0,8317.0,,5617.0,9117.0,6917.0,9117.0,7317.0,9017.0,,9217.0,7417.0,5617.0,5117.0,8217.0,5217.0,52.61591107737152,8917.0,,9917.0,9917.0,58.69754282840082,5517.0,7717.0,9517.0,8517.0,7717.0,,9717.0,5717.0,8817.0,9417.0,9517.0,9717.0,7917.0,8217.0,8517.0,9517.0,9817.0,6717.0,88.43270147559817,9717.0,57.61908517916872,8917.0,8017.0,,9117.0,9617.0,69.42639778128891,9117.0,,9817.0,4617.0,8717.0,9817.0,9617.0,5617.0,5617.0,6417.0,8717.0,9117.0,7417.0,86.12568344174059,9517.0,9117.0,9217.0,6117.0,8817.0,5917.0,7317.0,9617.0,,9917.0,8617.0,3517.0,3817.0,9317.0,9817.0,74.63433050161811,5217.0,9217.0,5017.0,6117.0,9117.0,7917.0,9717.0,9617.0,8717.0,9717.0,9117.0,6617.0,9917.0,9817.0,6017.0,9217.0,6517.0,9917.0,,9817.0,,9917.0,8217.0,77.1709708231257,6817.0,2517.0,8217.0,56.70399585003517,9317.0,9417.0,9717.0,9517.0,9917.0,53.95092354279353,5817.0,7917.0,9217.0,9617.0,8317.0,8417.0,8417.0,7317.0,9317.0,,4317.0,9717.0,8817.0,9217.0,7917.0,9917.0,5417.0,9717.0,9517.0,9117.0,9117.0,9217.0,9617.0,6517.0,6817.0,9617.0,,71.57416484707812,4117.0,8617.0,8417.0
7,1998,3117.0,8917.0,8417.0,6117.0,9917.0,9517.0,9417.0,,8217.0,7817.0,6717.0,9217.0,9917.0,7117.0,9717.0,9817.0,8017.0,8417.0,6717.0,,7117.0,6517.0,8417.0,8917.0,9517.0,9917.0,9517.0,2417.0,6817.0,8417.0,5417.0,4717.0,9617.0,,3717.0,2017.0,9817.0,8317.0,7817.0,6717.0,2017.0,2117.0,8317.0,6617.0,9117.0,9917.0,8917.0,9517.0,9117.0,2117.0,9817.0,8017.0,83.0115505102577,82.4374598497059,8917.0,9817.0,9917.0,8217.0,7917.0,8917.0,4417.0,89.86474353540541,,7717.0,9617.0,8217.0,,5617.0,9017.0,7317.0,9217.0,7817.0,8917.0,,9717.0,7917.0,5217.0,6117.0,9317.0,5317.0,50.652624514255116,9817.0,,9917.0,9617.0,58.3359583752117,5317.0,7717.0,9917.0,8817.0,7717.0,,9417.0,5517.0,8817.0,9517.0,9317.0,9917.0,9017.0,7717.0,8517.0,9917.0,9817.0,7117.0,90.77931318505821,9717.0,55.59635416518922,8317.0,7917.0,,9217.0,9717.0,68.98819161561673,9217.0,,9617.0,5117.0,9017.0,9617.0,9817.0,5417.0,6017.0,6217.0,8517.0,9617.0,8217.0,90.3796874788845,9317.0,9317.0,9117.0,6417.0,8917.0,6417.0,6717.0,9617.0,,8117.0,9117.0,3517.0,3817.0,9117.0,9817.0,75.80605515647963,5417.0,9617.0,6117.0,7117.0,9317.0,8017.0,9717.0,9617.0,8917.0,9717.0,9417.0,7217.0,9917.0,9917.0,5917.0,9317.0,6217.0,9317.0,,9617.0,,9917.0,9317.0,78.4370507142962,6617.0,3217.0,7917.0,55.06532761202942,9317.0,9417.0,9917.0,9017.0,9917.0,52.281276695156116,4917.0,8217.0,9217.0,9417.0,8117.0,8717.0,8317.0,7217.0,9617.0,,4017.0,9417.0,9017.0,9417.0,8117.0,9917.0,5017.0,9617.0,9517.0,8717.0,9217.0,9617.0,9517.0,6417.0,9217.0,9617.0,,71.15759120876181,6617.0,8617.0,7917.0
